"","year","Tree.Num","lfstate0first","lfstate1first","lfstate2first","lfstate3first","lfstate0last","lfstate1last","lfstate2last","lfstate3last","catstate0first","catstate1first","catstate2first","catstate3first","catstate4first","flstate0first","flstate1first","flstate2first","flmaxstate","AcornDate","Count1","Count2","MnAcorns","lat","long","1","2","3","4","5","6","7","8","9","10","11","12"
"136",2009,168,"1/20/09","4/9/09","4/14/09","4/22/09","3/31/09","5/12/09","5/26/09","6/9/09","1/20/09","4/9/09","4/22/09",NA,"4/22/09","1/20/09","5/18/09",NA,1,"9/29/09",1,1,1,34.69611,-120.04035,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"137",2009,169,"1/20/09","3/25/09","3/31/09","4/22/09","3/25/09","4/22/09","4/28/09","6/9/09","1/20/09","3/25/09","3/31/09","4/9/09","4/14/09","1/20/09",NA,"4/9/09",2,"9/29/09",5,5,5,34.6963,-120.0404,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"138",2009,183,"1/20/09","3/10/09","3/17/09","3/25/09","3/3/09","3/17/09","3/25/09","6/9/09","1/20/09","3/10/09",NA,NA,"3/25/09","1/20/09",NA,NA,0,"9/29/09",0,0,0,34.70544,-120.04053,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"139",2009,186,"1/20/09","3/31/09","4/9/09","4/22/09","3/31/09","4/22/09","4/28/09","6/9/09","1/20/09","3/31/09","4/9/09","4/14/09","4/22/09","1/20/09","4/14/09","4/22/09",2,"9/29/09",21,23,22,34.70474,-120.04135,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"140",2009,505,"1/20/09","3/10/09","3/17/09","4/9/09","3/10/09","4/14/09","3/31/09","6/9/09","1/20/09","3/10/09","3/17/09",NA,"3/31/09","1/20/09","3/31/09",NA,1,"9/29/09",0,0,0,34.70164,-120.03973,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"141",2009,524,"1/20/09","3/10/09","3/17/09","3/31/09","3/3/09","3/31/09","4/9/09","6/9/09","1/20/09","3/10/09","3/10/09","3/25/09","3/31/09","1/20/09","3/25/09","4/9/09",2,"9/29/09",0,0,0,34.69624,-120.03795,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"142",2009,530,"1/20/09","3/25/09","3/31/09","4/14/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/25/09","3/31/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/30/09",3,3,3,34.68101,-120.0351,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"143",2009,560,"1/20/09","3/31/09","4/9/09","4/22/09","3/25/09","4/14/09","4/28/09","6/9/09","1/20/09","3/31/09","4/14/09","4/9/09","4/14/09","1/20/09","4/14/09",NA,1,"9/29/09",0,1,0.5,34.70059,-120.0393,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"144",2009,564,"1/20/09","3/10/09","3/17/09","3/31/09","3/3/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/10/09",NA,"3/25/09","1/20/09",NA,"3/25/09",2,"9/29/09",2,0,1,34.70301,-120.03804,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"145",2009,637,"1/20/09","2/18/09","3/3/09","3/25/09","2/18/09","3/25/09","3/31/09","6/9/09","1/20/09","2/18/09","3/3/09","3/17/09","3/25/09","1/20/09","3/3/09","3/25/09",2,"9/29/09",0,1,0.5,34.69767,-120.04335,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"146",2009,639,"1/20/09","3/17/09","3/25/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/25/09",NA,"3/31/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",5,8,6.5,34.69647,-120.03833,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"147",2009,640,"1/20/09","3/31/09","4/9/09","4/14/09","3/25/09","4/14/09","4/22/09","6/9/09","1/20/09","3/31/09","3/31/09","4/9/09","4/14/09","1/20/09","4/9/09","4/14/09",2,"9/29/09",0,0,0,34.69778,-120.03895,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"148",2009,641,"1/20/09","3/3/09","3/10/09","3/31/09","3/10/09","4/9/09","4/14/09","6/9/09","1/20/09","3/3/09","3/10/09","4/9/09","3/25/09","1/20/09","3/25/09","3/31/09",2,"9/29/09",7,0,3.5,34.70404,-120.04221,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"149",2009,642,"1/20/09","2/24/09","3/3/09","3/25/09","2/24/09","3/31/09","3/17/09","6/9/09","1/20/09","2/24/09","3/3/09","3/17/09","3/25/09","1/20/09","3/3/09","3/17/09",2,"9/29/09",19,20,19.5,34.70425,-120.04302,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"150",2009,643,"1/20/09","3/25/09","3/25/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09","3/25/09","3/31/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",11,8,9.5,34.7036,-120.04296,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"151",2009,644,"1/20/09","3/17/09","3/25/09","4/9/09","3/10/09","4/9/09","4/14/09","6/9/09","1/20/09","3/17/09","3/25/09",NA,"3/31/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",3,5,4,34.70445,-120.03885,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"152",2009,645,"1/20/09","3/31/09","4/9/09","4/22/09","3/25/09","4/22/09","6/9/09","6/9/09","1/20/09","3/31/09","4/14/09",NA,"4/9/09","1/20/09",NA,NA,0,"9/29/09",1,3,2,34.70461,-120.03756,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"153",2009,646,"1/20/09","3/3/09","3/10/09","3/31/09","2/24/09","4/9/09","4/14/09","6/9/09","1/20/09","3/3/09","3/10/09","3/25/09","3/31/09","1/20/09","3/17/09",NA,1,"9/29/09",0,0,0,34.70413,-120.03796,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"154",2009,647,"1/20/09","2/24/09","3/10/09","3/31/09","2/18/09","4/9/09","4/14/09","6/9/09","1/20/09","3/3/09","3/10/09","4/9/09","3/25/09","1/20/09","3/3/09","3/17/09",2,"9/29/09",15,11,13,34.70321,-120.03582,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"155",2009,651,"1/20/09","3/17/09","3/25/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/25/09","4/9/09","3/31/09","1/20/09",NA,"3/31/09",2,"9/30/09",7,5,6,34.68506,-120.03447,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"156",2009,660,"1/20/09","3/25/09","3/31/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09",NA,"3/31/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/30/09",12,4,8,34.68625,-120.03488,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"157",2009,661,"1/20/09","3/17/09","3/25/09","4/14/09","3/10/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/25/09",NA,"3/31/09","1/20/09","3/31/09","4/9/09",2,"9/30/09",17,21,19,34.68622,-120.0345,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"158",2009,662,"1/20/09","3/31/09","4/14/09","4/28/09","3/25/09","5/26/09","6/2/09","6/9/09","1/20/09","3/31/09","4/14/09","4/22/09","4/22/09","1/20/09","4/28/09","4/22/09",2,"9/30/09",4,6,5,34.68566,-120.03439,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"159",2009,663,"1/20/09","3/17/09","3/25/09","3/31/09","3/10/09","4/14/09","4/22/09","6/9/09","1/20/09","3/10/09","3/17/09","4/9/09","3/31/09","1/20/09",NA,"3/31/09",2,"9/30/09",4,21,12.5,34.68894,-120.03593,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"160",2009,664,"1/20/09","3/3/09","3/17/09","3/31/09","3/3/09","4/9/09","4/14/09","6/9/09","1/20/09","3/3/09","3/10/09","3/25/09","3/31/09","1/20/09","3/25/09","3/31/09",2,"9/30/09",7,3,5,34.68892,-120.03605,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"161",2009,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"162",2009,666,"1/20/09","3/25/09","3/31/09","4/22/09","3/17/09","5/18/09","5/26/09","6/9/09","1/20/09","3/25/09",NA,"3/31/09","4/14/09","1/20/09","4/14/09",NA,1,"9/30/09",0,0,0,34.6882,-120.03666,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"163",2009,667,"1/20/09","3/25/09","3/31/09","4/9/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09","4/9/09","3/31/09","4/9/09","1/20/09",NA,"3/31/09",2,"9/30/09",9,4,6.5,34.68844,-120.03652,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"164",2009,672,"1/20/09","4/9/09","4/14/09","4/28/09","3/31/09","4/28/09","6/9/09","6/9/09","1/20/09","4/9/09","4/22/09","4/14/09","4/22/09","1/20/09","4/22/09",NA,1,"9/29/09",4,2,3,34.69816,-120.03892,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"165",2009,673,"1/20/09","3/25/09","3/31/09","4/22/09","3/17/09","4/22/09","4/28/09","6/9/09","1/20/09","3/25/09","3/31/09","4/9/09","4/14/09","1/20/09",NA,"4/14/09",2,"9/29/09",28,27,27.5,34.69486,-120.03955,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"166",2009,674,"1/20/09","3/17/09","3/25/09","4/9/09","3/10/09","4/9/09","4/14/09","6/9/09","1/20/09","3/17/09","3/25/09","4/9/09","3/31/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",0,1,0.5,34.69961,-120.03822,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"167",2009,675,"1/20/09","3/17/09","3/25/09","4/14/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/25/09","3/31/09","4/9/09","1/20/09","3/31/09","4/9/09",2,"9/29/09",49,62,55.5,34.69899,-120.03896,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"168",2009,676,"1/20/09","3/31/09","4/9/09","4/22/09","3/25/09","4/22/09","4/28/09","6/9/09","1/20/09","3/31/09","4/9/09",NA,"4/14/09","1/20/09","4/14/09","4/22/09",2,"9/29/09",1,2,1.5,34.69892,-120.03842,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"169",2009,786,"1/20/09","3/25/09","3/31/09","4/14/09","3/25/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09",NA,"3/31/09","4/9/09","1/20/09","4/9/09",NA,1,"9/30/09",4,1,2.5,34.6882,-120.03615,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"170",2009,789,"1/20/09","3/17/09","3/25/09","4/9/09","3/10/09","4/14/09","4/22/09","6/9/09","1/20/09","3/17/09","3/17/09",NA,"3/31/09","1/20/09",NA,"3/31/09",2,"9/30/09",5,6,5.5,34.6885,-120.03615,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"171",2009,790,"1/20/09","3/25/09","3/31/09","4/14/09","3/25/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09",NA,NA,"3/31/09","1/20/09","4/9/09",NA,1,"9/30/09",0,1,0.5,34.68857,-120.03608,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"172",2009,791,"1/20/09","3/10/09","3/17/09","3/31/09","3/10/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/17/09",NA,"3/25/09","1/20/09","3/25/09",NA,1,"9/30/09",0,2,1,34.68862,-120.03625,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"173",2009,792,"1/20/09","3/3/09","3/10/09","3/31/09","2/24/09","4/9/09","4/14/09","6/9/09","1/20/09","3/3/09","3/17/09","3/31/09","3/25/09","1/20/09","3/17/09",NA,1,"9/29/09",4,0,2,34.70478,-120.04104,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"174",2009,844,"1/20/09","3/25/09","3/31/09","4/14/09","3/17/09","4/14/09","4/22/09","6/9/09","1/20/09","3/25/09","4/9/09","3/31/09","4/9/09","1/20/09","4/9/09",NA,1,"9/29/09",0,0,0,34.70303,-120.03937,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"175",2009,845,"1/20/09","3/31/09","4/9/09","4/22/09","3/25/09","4/22/09","4/28/09","6/9/09","1/20/09","3/31/09","4/9/09",NA,"4/14/09","1/20/09","4/22/09",NA,1,"9/29/09",0,2,1,34.70333,-120.03909,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
"176",2009,870,"1/20/09","3/10/09","3/17/09","4/9/09","3/3/09","4/9/09","4/14/09","6/9/09","1/20/09","3/10/09","3/17/09",NA,"3/25/09","1/20/09","3/25/09","3/31/09",2,"9/29/09",0,1,0.5,34.70272,-120.03854,12.954,106.934,33.02,6.35,0.508,2.286,0.508,0.254,0,2.54,69.596,51.816
